id,created_at,text
6.77274E+17,16-12-2015 23:47,"Thank you, Abby. #oneofakind #184in90 https://t.co/EnNeQI1Ci4"
6.76837E+17,15-12-2015 18:52,Inside the #Kobe11 launch yesterday. Take a look https://t.co/4iYncPJObN
6.74816E+17,10-12-2015 05:01,Welcome to the @DrinkBODYARMOR family @kporzee https://t.co/NrDzccP2d9
6.71114E+17,29-11-2015 23:50,Dear Basketball:  https://t.co/KDecft6BO2  #KB20
6.70344E+17,27-11-2015 20:51,Happy birthday to the great Bruce Lee  #BruceLee75 #legend
6.62142E+17,05-11-2015 05:40,Gotta love this game. Watch the full #81hourchallenge #highlights on https://t.co/v3NryNO8oy https://t.co/DNriIQdN5k
6.59119E+17,27-10-2015 21:26,"Thank you @AbbyWambach for all that you are, have been and will be  You are a true muse #oneofakind"
6.59055E+17,27-10-2015 17:12,Proud 2 join the @playerstribune team to help athletes discover the power of storytelling &amp; owning your voice. #AthleteVoice #VoiceoftheGame
6.5845E+17,26-10-2015 01:07,Think you have basketball skills? Letâ€™s see what you got. #81HourChallenge https://t.co/v3NryO5Jg6 https://t.co/ifPokgfY2R
6.58396E+17,25-10-2015 21:35,#RIPFlipSaunders
6.58328E+17,25-10-2015 17:04,Bryant's can't wait to see @pattyduke_id on #LivAndMaddie Sun. 10/25 on @DisneyChannel @JohnDBeckTV #GrandmaARooney https://t.co/6FDt89yrZI
6.54762E+17,15-10-2015 20:51,#justpray http://t.co/anLldzod6I
6.52491E+17,09-10-2015 14:28,RT @SBNation: Thabo Sefolosha found not guilty on 3 charges following NYPD incident that broke his ankle. http://t.co/QvkBmN7aSx http://t.câ€¦
6.51461E+17,06-10-2015 18:17,"RT @NBA: ""I view him like a brother &amp; always will."" - @KobeBryant on @realtuffjuice."
,,
Caron Butler's #TuffJuice," out tomorrow! http://t.co/â€¦""",
6.50332E+17,03-10-2015 15:29,ðŸ‘ðŸ‘  https://t.co/bbfHYlYY1b
6.49073E+17,30-09-2015 04:06,"Bright future ahead for @jewellloyd, great story on the rise of the new Rookie of the Year http://t.co/Y6x3LuPiQ8 #MambaArmy"
6.44195E+17,16-09-2015 17:03,Now Iâ€™m in the Beautiful Game! Bring on #FIFA16. #PlayBeautiful @easportsfifa http://t.co/0TxGV6OEew #ad https://t.co/yTjZCx5kep
6.43291E+17,14-09-2015 05:10,Congrats @DjokerNole and @rogerfederer two of the all time greats #muses
6.43082E+17,13-09-2015 15:22,#Rip to the great Moses Malone
6.43079E+17,13-09-2015 15:07,Congrats cuz! Proud of you  https://t.co/orby2AU3sJ
6.42924E+17,13-09-2015 04:52,49-0 #saynomore #TBE
6.4202E+17,10-09-2015 17:01,RT @NBA: 'Once-in-a-lifetime player' @LisaLeslie charts path for others (via @Powell2daPeople) http://t.co/2hJ5SSCzdp http://t.co/9uUc06CheO
6.40296E+17,05-09-2015 22:51,@Yimlife1313 YES!! Great comeback win!!  #USOpen
