id,created_at,text,,
6.77995E+17,18-12-2015 23:31,"RT @cavs: You've seen @Uninterrupted with @KingJames, but have you seen Interrupted with @J1Flight?",,
6.77894E+17,18-12-2015 16:52,RT @Kia: .@KingJames is coming to collect. #FitForAKing https://t.co/5lGulbPfM1,,
6.77719E+17,18-12-2015 05:14,Ellie Day I hope you're doing okay! My apologies! Hope u guys come back to another game soon. Love LJ!,,
6.77539E+17,17-12-2015 17:22,"We got now, we don't care who got next! Family business #BringYourGame @nikebasketball https://t.co/jOLGsBcVm1",,
6.77239E+17,16-12-2015 21:27,Showed these guys my secret post-training cake recipe. Secret ingredient: kale. #BringYourGame #StriveForGreatness https://t.co/8OBK45rMaK,,
6.75108E+17,11-12-2015 00:21,"Congrats to @AmySchumer, Bill, @JuddApatow and the whole #Trainwreck team on the #GoldenGlobes nominations! https://t.co/4yviK4wSfe",,
6.75024E+17,10-12-2015 18:45,"Yo my people get me away from @J1Flight asap! He just said Outkast ""ATLiens"" is weak and turn it off.  I ready to slap the bleep out of him",,
6.74672E+17,09-12-2015 19:29,https://t.co/ps6VO60HDe @SRemorse_Starz #StriveForGreatness,,
6.72192E+17,02-12-2015 23:13,Really proud what the team is going to build with our new amazing partners,,
"https://t.co/LWc6gl7qRR #StriveForGreatness @uninterrupted #WB""",,,,
6.71738E+17,01-12-2015 17:11,"RT @uninterrupted: ""I'm ready for the marathon."" - @KingJames",,
,,,,
"Ep. 5 of Striving for Greatness is live: https://t.co/zUZ5segxgH https://t.câ€¦""",,,,
6.70092E+17,27-11-2015 04:09,Congrats and S/O the Great Brett Favre on the induction tonight at Lambeau Field! #4 #Legend #Cannon,,
6.68281E+17,22-11-2015 04:11,@Money23Green Congrats homie. Your package will be sent your way.,,
6.68163E+17,21-11-2015 20:24,RT @nikebasketball: The elements are no excuse. ,,
,,,,
The @KingJames Hyper Elite Winterized Jacket. Available now: https://t.co/nsuY3k0c8L,,,,
"httpâ€¦""",,,,
6.68162E+17,21-11-2015 20:21,RT @uninterrupted: The bet's on. @TheRealSparty vs. @Brutus_Buckeye. @Money23Green vs. @KingJames. Who you got? #MSUvsOSU,,
"https://t.co/ZK0bâ€¦""",,,,
6.68112E+17,21-11-2015 17:01,"""@OSUCoachMeyer: Ready to go! @KingJames https://t.co/1rgpZm4hmL""",,
,,,,
"You already know Coach! Good luck.  #BuckeyeNation""",,,,
6.67443E+17,19-11-2015 20:44,"RT @uninterrupted: ""You gotta believe it."" - @KingJames",,
,,,,
"Ep. 4 of Striving for Greatness is live: https://t.co/AcKhdsitBe https://t.co/YL5câ€¦""",,,,
6.65306E+17,13-11-2015 23:10,As I get ready for my game I can't help but to think of the tragedy in Paris! My God what's up with people. Prayers sent to all the familes!,,
6.64986E+17,13-11-2015 01:59,In NYC &amp; #TeamLeBron Christ the King is out here ready to work! Huge S/O CTK as they continue to #StriveForGreatness https://t.co/TXYbnOAWYF,,
6.64887E+17,12-11-2015 19:25,"You can't take the off season off, No way,  no how!! :Â Â Â Â  https://t.co/G4z0oC10Uv #StriveForGreatness #Uninterrupted @uninterrupted",,
6.62455E+17,06-11-2015 02:21,"Hahahaha! Man u boys on @NBAonTNT hilarious.  Oh ok Kenny,  thought u was my boy! Hahaha.  I didn't know u was tatted though.  Hahaha",,
6.62307E+17,05-11-2015 16:36,"""Always listen to the body""",,
,,,,
"Ep. 2 of """"Striving for Greatness"""" is live: https://t.co/9l6pMXMZ07 https://t.co/FGzXTp0fDD""",,,,
6.62284E+17,05-11-2015 15:01,RT @uninterrupted: â€œItâ€™s all mental.â€ â€” @KingJames explains what was going on with his sleeved jersey https://t.co/JHN0QgfcCu https://t.co/â€¦,,
6.62157E+17,05-11-2015 06:37,Barbecue Zimbabwe chicken. Hahahahaha!  @SHAQ hilarious for that one,,
6.6166E+17,03-11-2015 21:44,"RT @NBA: Making History, In Style! #ThisIsWhyWePlay",,
"https://t.co/LPGgIQxSKk""",,,,
6.60586E+17,31-10-2015 22:35,"Gotta love this time of year, treats coming Friday the 13th. #TrickOrTreat #HorrorFlicksObsessed https://t.co/JkgKwSZTCZ",,
6.60464E+17,31-10-2015 14:30,Congrats to @SteveNash on being inducted into the Suns Ring of Honor last night!,,
6.59847E+17,29-10-2015 21:39,"""Striving for Greatness"" Ep 1 out now ",,
"https://t.co/PvMF7u8H0u @uninterrupted https://t.co/vVmPAW0ItO""",,,,
6.58344E+17,25-10-2015 18:07,My condolences to the Saunders and @Timberwolves family!  Lost a great person in our fraternity way to early. So sad #RIPFlip,,
6.58099E+17,25-10-2015 01:54,Hope ya'll catching the Season Finale of @SRemorse_Starz  now. My boy Cam gracing the cover of @slamonline. https://t.co/BsfzqG6Msa,,
6.5803E+17,24-10-2015 21:19,Someone please check on my brother @fwalker03! Seriously people. He's a Canes football fan. Ouch!,,
6.57301E+17,22-10-2015 21:04,"""@rickyrozay: Promised Land indoor ðŸ€court @kingjames Art by @jaymackmuzik ðŸ”¥ https://t.co/oKy2DhwD5T""",,
,,,,
"Crazy homie! Holla at me. Respect!""",,,,
6.56632E+17,21-10-2015 00:44,S/O to all my Zips!!! Damn proud to partner withÂ @UAkronÂ &amp;Â @PresScarboroughÂ #IPROMISEÂ #UNLIMITED Â https://t.co/Ob5Ki1YGYh,,
6.56287E+17,20-10-2015 01:52,"""@BlazePizza: @FlyingGent @KingJames ðŸ‘‘ðŸ•""",,
,,,,
"Yummy!!!!!! I'll take everything on pie. Lol""",,,,
6.55561E+17,18-10-2015 01:48,#WhenYouSetYourBoyUp #SurvivorsRemorse http://t.co/ZnIANVuI01,,
6.55444E+17,17-10-2015 18:02,Then right after @SRemorse_Starz  at 10 pm catch my girl @amyschumer on @HBO #AmyAtTheApollo #BackToBackComedyForTheBest,,
6.55443E+17,17-10-2015 17:59,Tonight u better not miss @SRemorse_Starz at 930 Eastern. Guess who's making a cameo on the best show on TV.  Yup u guessed it.,,
6.55165E+17,16-10-2015 23:35,"""@SRemorse_Starz: ðŸ‘€ who is going to be on #SurvivorsRemorse tomorrow night. http://t.co/EoCOGCmcAr""",,
,,,,
"Is that who I think it is?  Yes it is""",,,,
6.53314E+17,11-10-2015 21:00,Only right that I come to Columbus and enjoy a great pie @BlazePizza!! Love it. Thanks for the hospitality guys. http://t.co/fJT76gsEkp,,
6.52585E+17,09-10-2015 20:41,Listen it's truly humbling and a honor that guys like to wear my kicks on court! Salute. #StriveForGreatness,,
6.52312E+17,09-10-2015 02:39,Humbled and proud of this Akronite tribute from @LemonAndersen http://t.co/jFpDCsunXk #LEBRON13 #StriveForGreatness http://t.co/buP6XHPyF3,,
6.52144E+17,08-10-2015 15:29,So excited to be to be partnering with @BlazePizza!! Let's Go!!   http://t.co/ZeGCfYeWjM,,
6.50343E+17,03-10-2015 16:11,Man I love Saturday cause that means another @SRemorse_Starz episode! Better not miss tonight. It's crazy!  #TheCalloways #Craziness,,
6.4971E+17,01-10-2015 22:16,C'mon man let's do and be better!  Don't fall into the trap. This can't be only way. Accept more from yourselves. #TheLand #TheNation,,
6.49709E+17,01-10-2015 22:13,Like seriously man!!!! A baby shot in the chest in Cleveland. It's been out of control but it's really OOC. Ya'll need to chill the F out.,,
6.48972E+17,29-09-2015 21:26,RT @pr_again: Honored to be at Harvard Business School with my brother @MavCarterâ€¦ https://t.co/hXBY0eknGU,,
6.48972E+17,29-09-2015 21:26,RT @mavcarter: Played professor 4 the day talking @uninterrupted at Harvard Business School what an honor I learn more than they do http://â€¦,,
6.48335E+17,28-09-2015 03:13,RT @nikebasketball: Changing the game. Again. @KingJames discusses how the #LEBRON13 offers explosive performance on a whole other level. hâ€¦,,
6.48324E+17,28-09-2015 02:32,RT @nikebasketball: Built for Greatness. @KingJames and the #LEBRON13. http://t.co/j3sfdkPSev,,
6.48312E+17,28-09-2015 01:43,RT @KristenLedlow: #LeBron13,,
,,,,
"DETAILS: http://t.co/OJt3PTqC4m http://t.co/h5wPCerHT9""",,,,
6.48304E+17,28-09-2015 01:10,RT @KristenLedlow: Check out my conversation with @KingJames (and surprise appearance by @KyrieIrving!) on #Periscope: #LEBRON13 https://t.â€¦,,
6.48303E+17,28-09-2015 01:07,RT @nikebasketball: The wait is over. @KingJames joins @KristenLedlow on the stage. #LEBRON13 http://t.co/8ufRWpvIYD,,
6.4736E+17,25-09-2015 10:41,Time to go punch that clock. Work time. #StriveForGreatness,,
6.46009E+17,21-09-2015 17:12,"""Franchise Tag on me Bron Bron""- @1future.",,
6.45739E+17,20-09-2015 23:19,I'm gone be honest I wish I was in the Land tonight. I for sure would go tonight just to hear @djstephfloss play @Drake &amp; @1future all night,,
6.45732E+17,20-09-2015 22:53,By the way HUGE S/O lil bro @JManziel2 on his performance and most importantly  getting that W this afternoon. Yesir!!,,
6.4573E+17,20-09-2015 22:45,My brother @Drake sent me that FIRE a few days back and I haven't stopped listening to it.  S/O the homie @1future. U Boyz ain't right!,,
6.4544E+17,20-09-2015 03:29,WOW!! #BamavsOleMiss,,
6.44207E+17,16-09-2015 17:51,Congrats to @De11eDonne!!! #MVPStatus #StriveForGreatness,,
6.43912E+17,15-09-2015 22:20,#LeBron13 and I are Charged Up!! #StriveForGreatness #NikeForLife #Blessed http://t.co/jH9gAoXeIJ,,
6.43888E+17,15-09-2015 20:42,S/O @SLAMonline! Been riding with me since day 1. Let's get it. #NewCoverAlert #StriveForGreatness,,
